architecture,seed,run_dir,selection_metric,best_epoch,best_val_metric,history_len,best_epoch,best_val_metric,child_acc_argmax,child_accuracy,child_macro_f1,child_macro_f1_argmax,child_macro_precision,child_macro_precision_argmax,child_macro_recall,child_macro_recall_argmax,child_micro_f1,child_micro_f1_argmax,child_micro_precision,child_micro_precision_argmax,child_micro_recall,child_micro_recall_argmax,eval_threshold,hierarchical_consistency,inference_mode_level_0_accuracy,inference_mode_level_0_avg_pred_labels,inference_mode_level_0_avg_true_labels,inference_mode_level_0_macro_f1,inference_mode_level_0_macro_precision,inference_mode_level_0_macro_recall,inference_mode_level_0_micro_f1,inference_mode_level_0_precision,inference_mode_level_0_recall,inference_mode_level_1_accuracy,inference_mode_level_1_avg_pred_labels,inference_mode_level_1_avg_true_labels,inference_mode_level_1_macro_f1,inference_mode_level_1_macro_precision,inference_mode_level_1_macro_recall,inference_mode_level_1_micro_f1,inference_mode_level_1_precision,inference_mode_level_1_recall,inference_mode_overall_accuracy,inference_mode_overall_avg_pred_labels,inference_mode_overall_avg_true_labels,inference_mode_overall_macro_f1,inference_mode_overall_macro_precision,inference_mode_overall_macro_recall,inference_mode_overall_micro_f1,inference_mode_overall_precision,inference_mode_overall_recall,overall_accuracy,overall_macro_f1,overall_macro_precision,overall_macro_recall,overall_micro_f1,overall_micro_precision,overall_micro_recall,parent_acc_argmax,parent_accuracy,parent_macro_f1,parent_macro_f1_argmax,parent_macro_precision,parent_macro_precision_argmax,parent_macro_recall,parent_macro_recall_argmax,parent_micro_f1,parent_micro_f1_argmax,parent_micro_precision,parent_micro_precision_argmax,parent_micro_recall,parent_micro_recall_argmax,total_params,training_mode_level_0_accuracy,training_mode_level_0_avg_pred_labels,training_mode_level_0_avg_true_labels,training_mode_level_0_macro_f1,training_mode_level_0_macro_precision,training_mode_level_0_macro_recall,training_mode_level_0_micro_f1,training_mode_level_0_precision,training_mode_level_0_recall,training_mode_level_1_accuracy,training_mode_level_1_avg_pred_labels,training_mode_level_1_avg_true_labels,training_mode_level_1_macro_f1,training_mode_level_1_macro_precision,training_mode_level_1_macro_recall,training_mode_level_1_micro_f1,training_mode_level_1_precision,training_mode_level_1_recall,training_mode_overall_accuracy,training_mode_overall_avg_pred_labels,training_mode_overall_avg_true_labels,training_mode_overall_macro_f1,training_mode_overall_macro_precision,training_mode_overall_macro_recall,training_mode_overall_micro_f1,training_mode_overall_precision,training_mode_overall_recall,training_time_seconds,unified_accuracy,unified_avg_pred_labels,unified_avg_true_labels,unified_macro_f1,unified_macro_precision,unified_macro_recall,unified_micro_f1,unified_precision,unified_recall
local,1,hydra_local_seed1_20260627_165920,training_mode_overall_macro_f1,15,0.8267201800231787,20,15,0.8267201800231787,0.820581036501011,0.7924869639246568,0.8225691945293397,0.816417766883377,0.850260780614399,0.8206663697621771,0.800822349879002,0.8161862981746159,0.8295890410958904,0.820581036501011,0.8550773749011634,0.820581036501011,0.80557624773864,0.820581036501011,0.5,0.921570714057678,0.9093327657763116,1.000957752474194,1.0,0.9139999236996038,0.9190494222820113,0.909379570587773,0.911237568473116,0.9108016159897937,0.9116739384910078,0.7904650420346919,0.9339150792806215,1.0,0.8211051409792041,0.8517690254506659,0.7968010367677185,0.8280416001760854,0.8573381950774841,0.8006810684260934,0.7870596999042248,1.9348728317548154,2.0,0.8257169387029117,0.8551091869954845,0.8023900419928275,0.8703483340545218,0.8849961500384996,0.8561775034585506,0.7857826966052995,0.8271083087434662,0.8536758195624365,0.8062117154461041,0.8710225892640272,0.8837833397228764,0.8586250931148239,0.9117803554325848,0.9093327657763116,0.9139999236996038,0.9145996211299229,0.9190494222820113,0.9199217409813734,0.909379570587773,0.9096857104102779,0.911237568473116,0.9117803554325848,0.9108016159897937,0.9117803554325848,0.9116739384910078,0.9117803554325848,120988557,0.9093327657763116,1.000957752474194,1.0,0.9139999236996038,0.9190494222820113,0.909379570587773,0.911237568473116,0.9108016159897937,0.9116739384910078,0.7924869639246568,0.9421091837820581,1.0,0.8225691945293397,0.850260780614399,0.800822349879002,0.8295890410958904,0.8550773749011634,0.80557624773864,0.7857826966052995,1.943066936256252,2.0,0.8271083087434662,0.8536758195624365,0.8062117154461041,0.8710225892640272,0.8837833397228764,0.8586250931148239,3638.094388484955,,,,,,,,,
local,2,hydra_local_seed2_20260627_180029,training_mode_overall_macro_f1,22,0.8336707177642104,27,22,0.8336707177642104,0.8204746195594339,0.8022773225497499,0.8200374225930662,0.8123750886631326,0.8392642298678493,0.8157578983150578,0.8066877014162436,0.8140652682487295,0.8298588490770901,0.8204746195594339,0.8470575196719494,0.8204746195594339,0.8133446844737682,0.8204746195594339,0.5,0.9434926040225604,0.9142279450888582,1.0008513355326167,1.0,0.919627930687074,0.9203008280132919,0.9190780677685029,0.9158600148920327,0.9154704944178629,0.916249866978823,0.8012131531339789,0.9551984675960413,1.0,0.819452126572639,0.8404935327631379,0.80437809703014,0.8293691830403309,0.848819073083779,0.8107906778759179,0.799191231244014,1.9560498031286582,2.0,0.8244253934435684,0.844455597066337,0.8100724218185694,0.8731136516476127,0.8829225831021164,0.8635202724273704,0.7986591465361286,0.8249816322147546,0.8432873233928003,0.8122673649940153,0.8733007361237978,0.8819730844367267,0.8647972757262956,0.9157177822709376,0.9142279450888582,0.919627930687074,0.9194912885626243,0.9203008280132919,0.9204370863684063,0.9190780677685029,0.9186504297124013,0.9158600148920327,0.9157177822709376,0.9154704944178629,0.9157177822709376,0.916249866978823,0.9157177822709376,120988557,0.9142279450888582,1.0008513355326167,1.0,0.919627930687074,0.9203008280132919,0.9190780677685029,0.9158600148920327,0.9154704944178629,0.916249866978823,0.8022773225497499,0.960200063850165,1.0,0.8200374225930662,0.8392642298678493,0.8066877014162436,0.8298588490770901,0.8470575196719494,0.8133446844737682,0.7986591465361286,1.9610513993827818,2.0,0.8249816322147546,0.8432873233928003,0.8122673649940153,0.8733007361237978,0.8819730844367267,0.8647972757262956,4883.233481168747,,,,,,,,,
local,3,hydra_local_seed3_20260627_192222,training_mode_overall_macro_f1,21,0.8292313338690238,26,21,0.8292313338690238,0.8213259550920506,0.8028094072576354,0.8228650032974945,0.8157878628889755,0.8432614370357537,0.8198881242993129,0.8082032410323007,0.8163973711761077,0.8295251017639077,0.8213259550920506,0.8464776251661498,0.8213259550920506,0.8132382675321911,0.8213259550920506,0.5,0.9428541023730977,0.9148664467383207,1.0,1.0,0.9184175304846836,0.9199275472781088,0.9173928159056447,0.9163562839204001,0.9163562839204001,0.9163562839204001,0.8004682345429392,0.9554113014791955,1.0,0.8218956527251302,0.8442869716856024,0.8055722206054363,0.8285170068027211,0.8478503007351303,0.8100457592848781,0.7980206448866659,1.9554113014791954,2.0,0.8266875189968811,0.8480421775660815,0.8111235976770778,0.8729317441954316,0.8828843537414967,0.8632010216026391,0.7974885601787804,0.8276087457819649,0.8470675559839559,0.813624000068566,0.8733711276498562,0.8821166892808684,0.8647972757262956,0.9158241992125147,0.9148664467383207,0.9184175304846836,0.9177924309459674,0.9199275472781088,0.9194395468455836,0.9173928159056447,0.9165904346071819,0.9163562839204001,0.9158241992125147,0.9163562839204001,0.9158241992125147,0.9163562839204001,0.9158241992125147,120988557,0.9148664467383207,1.0,1.0,0.9184175304846836,0.9199275472781088,0.9173928159056447,0.9163562839204001,0.9163562839204001,0.9163562839204001,0.8028094072576354,0.9607321485580504,1.0,0.8228650032974945,0.8432614370357537,0.8082032410323007,0.8295251017639077,0.8464776251661498,0.8132382675321911,0.7974885601787804,1.9607321485580504,2.0,0.8276087457819649,0.8470675559839559,0.813624000068566,0.8733711276498562,0.8821166892808684,0.8647972757262956,4699.888287782669,,,,,,,,,
local,4,hydra_local_seed4_20260627_204112,training_mode_overall_macro_f1,13,0.8269988054851788,18,13,0.8269988054851788,0.8224965414493988,0.7971693093540492,0.82181002735421,0.8155042056491315,0.8483349926726643,0.8204193333314866,0.8055123766574251,0.8177279730500915,0.8304927851892187,0.8224965414493988,0.8503568242640499,0.8224965414493988,0.8115355964669575,0.8224965414493988,0.5,0.9315739065659253,0.9132701926146642,0.9985101628179206,1.0,0.9185200332977578,0.920663969124972,0.9166444534387507,0.9156549520766774,0.9163380581903442,0.9149728636798978,0.793763967223582,0.9476428647440672,1.0,0.8200169256075008,0.8493746231947689,0.8013366817277479,0.8288711616216807,0.8517686692869174,0.8071725018622965,0.7909971267425774,1.9461530275619878,2.0,0.8249071508119817,0.8529138105813748,0.8070611810325494,0.8728223936141524,0.8848972003499562,0.8610726827710972,0.7907842928594232,0.8266112333230388,0.8519257929220697,0.8110295719586259,0.8735496029075246,0.8840935098904692,0.8632542300734277,0.9155049483877833,0.9132701926146642,0.9185200332977578,0.9180612716603084,0.920663969124972,0.9194966820343666,0.9166444534387507,0.9168606094682371,0.9156549520766774,0.9155049483877833,0.9163380581903442,0.9155049483877833,0.9149728636798978,0.9155049483877833,120988557,0.9132701926146642,0.9985101628179206,1.0,0.9185200332977578,0.920663969124972,0.9166444534387507,0.9156549520766774,0.9163380581903442,0.9149728636798978,0.7971693093540492,0.9543471320634245,1.0,0.82181002735421,0.8483349926726643,0.8055123766574251,0.8304927851892187,0.8503568242640499,0.8115355964669575,0.7907842928594232,1.9528572948813452,2.0,0.8266112333230388,0.8519257929220697,0.8110295719586259,0.8735496029075246,0.8840935098904692,0.8632542300734277,3259.1605293750763,,,,,,,,,
local,42,hydra_local_seed42_20260627_155505,training_mode_overall_macro_f1,16,0.8333994902964056,21,16,0.8333994902964056,0.8232414600404384,0.8022773225497499,0.8237418906753464,0.8176008190294207,0.8492151072548558,0.8230427193452281,0.8070797354540427,0.8187472580175087,0.8308647353517752,0.8232414600404384,0.8507862161257945,0.8232414600404384,0.8118548472916889,0.8232414600404384,0.5,0.9384910077684367,0.9141215281472811,0.9994679152921145,1.0,0.9193200286567188,0.9205428028756331,0.9183185248616039,0.9161743573367396,0.9164182282793867,0.9159306161540918,0.8010003192508247,0.9492391188677237,1.0,0.8227883498466189,0.8501000779776168,0.804632662983756,0.8304853414860512,0.8526905829596413,0.8094072576354155,0.7989783973608598,1.9487070341598383,2.0,0.8275807026953472,0.8535972345328374,0.8102766419422308,0.8738748450385383,0.8853757099169943,0.8626689368947537,0.7985527295945515,0.828486904617684,0.8527561985268094,0.8126022285451983,0.8740074825720668,0.8843618933493109,0.8638927317228903,0.9160370330956689,0.9141215281472811,0.9193200286567188,0.9192439031981011,0.9205428028756331,0.9202527823377179,0.9183185248616039,0.9184557453953861,0.9161743573367396,0.9160370330956689,0.9164182282793867,0.9160370330956689,0.9159306161540918,0.9160370330956689,120988557,0.9141215281472811,0.9994679152921145,1.0,0.9193200286567188,0.9205428028756331,0.9183185248616039,0.9161743573367396,0.9164182282793867,0.9159306161540918,0.8022773225497499,0.9542407151218474,1.0,0.8237418906753464,0.8492151072548558,0.8070797354540427,0.8308647353517752,0.8507862161257945,0.8118548472916889,0.7985527295945515,1.953708630413962,2.0,0.828486904617684,0.8527561985268094,0.8126022285451983,0.8740074825720668,0.8843618933493109,0.8638927317228903,3824.2665157318115,,,,,,,,,
local_global,1,hydra_local_global_seed1_20260627_221615,unified_macro_f1,14,0.8291578060152406,19,14,0.8291578060152406,0.8231350430988613,0.8039799936149835,0.8227805125278885,0.8150047907526871,0.8439190080169171,0.8189724778879138,0.8090927236489072,0.8166172948224535,0.8321841576632825,0.8231350430988613,0.8494790512081578,0.8231350430988613,0.8155794402468873,0.8231350430988613,0.5,0.9405129296584016,0.9127381079067788,1.0005320847078856,1.0,0.9167951794583498,0.9176454332302872,0.9160775429588455,0.9146231182509708,0.9143799191661348,0.9148664467383207,0.8017452378418645,0.9533893795892306,1.0,0.8212271383340827,0.8446208633645803,0.8054433788734271,0.83089997820876,0.8512110726643599,0.8115355964669575,0.7992976481855911,1.953921464297116,2.0,0.8259716510140109,0.8482461966203246,0.8109358551046181,0.8732606647826672,0.8835575404389739,0.8632010216026391,0.7987655634777057,0.8274479073400391,0.8475791851551696,0.8144040267352162,0.8738244935246386,0.8825987841945289,0.865222943492604,0.9150792806214749,0.9127381079067788,0.9167951794583498,0.9171568037546134,0.9176454332302872,0.9179738156626877,0.9160775429588455,0.9164558986669952,0.9146231182509708,0.9150792806214749,0.9143799191661348,0.9150792806214749,0.9148664467383207,0.9150792806214749,123569178,0.9127381079067788,1.0005320847078856,1.0,0.9167951794583498,0.9176454332302872,0.9160775429588455,0.9146231182509708,0.9143799191661348,0.9148664467383207,0.8039799936149835,0.9600936469085879,1.0,0.8227805125278885,0.8439190080169171,0.8090927236489072,0.8321841576632825,0.8494790512081578,0.8155794402468873,0.7987655634777057,1.9606257316164732,2.0,0.8274479073400391,0.8475791851551696,0.8144040267352162,0.8738244935246386,0.8825987841945289,0.865222943492604,3475.915219306946,0.7986591465361286,1.9532829626476536,2.0,0.8265907459040803,0.8498960119638188,0.8102507368124771,0.8745861261406768,0.8850449468809589,0.8643716079599872
local_global,2,hydra_local_global_seed2_20260627_231441,unified_macro_f1,15,0.8328837135414799,20,15,0.8328837135414799,0.8236671278067468,0.8067468340959881,0.8241377782488465,0.8172774393333971,0.8450028360969305,0.8233488898665683,0.8100599530922712,0.817611370693969,0.832709316837593,0.8236671278067468,0.8495349867139061,0.8236671278067468,0.8165371927210812,0.8236671278067468,0.5,0.9447696073214856,0.9152921145046291,1.0004256677663084,1.0,0.9204325320448498,0.9210118027730315,0.9200460425463336,0.9172252367273114,0.9170301031805127,0.9174204533361712,0.8050441630307545,0.9558369692455039,1.0,0.8227019361540712,0.8453272948495811,0.8070427090088472,0.8314924642254747,0.8507014028056112,0.813131850590614,0.8017452378418645,1.9562626370118124,2.0,0.8275538097089326,0.8490846817677666,0.8126528035816303,0.8748419721871049,0.8846216613175216,0.8652761519633926,0.8011067361924018,0.8289183688628324,0.8487763308964532,0.8155202554055935,0.8753861444650388,0.8839581185916563,0.8669788230286262,0.9174204533361712,0.9152921145046291,0.9204325320448498,0.9206011502042131,0.9210118027730315,0.9211888898074813,0.9200460425463336,0.9202118870855547,0.9172252367273114,0.9174204533361712,0.9170301031805127,0.9174204533361712,0.9174204533361712,0.9174204533361712,123569178,0.9152921145046291,1.0004256677663084,1.0,0.9204325320448498,0.9210118027730315,0.9200460425463336,0.9172252367273114,0.9170301031805127,0.9174204533361712,0.8067468340959881,0.9611578163243588,1.0,0.8241377782488465,0.8450028360969305,0.8100599530922712,0.832709316837593,0.8495349867139061,0.8165371927210812,0.8011067361924018,1.9615834840906672,2.0,0.8289183688628324,0.8487763308964532,0.8155202554055935,0.8753861444650388,0.8839581185916563,0.8669788230286262,3671.092670917511,0.8019580717250187,1.9574332233691605,2.0,0.8281024116502986,0.84921079196155,0.813422964066089,0.8752285683553834,0.8847450255518103,0.8659146536128551
local_global,3,hydra_local_global_seed3_20260628_001623,unified_macro_f1,14,0.8306295426215524,19,14,0.8306295426215524,0.8262211344045972,0.8074917526870278,0.822853337491981,0.8169086734528856,0.8481808239395837,0.8255665242895285,0.807298390468687,0.8177703725234929,0.8348299319727891,0.8262211344045972,0.8543105368678993,0.8262211344045972,0.8162179418963499,0.8262211344045972,0.5,0.9405129296584016,0.9138022773225497,0.9980844950516122,1.0,0.919803237954698,0.9201490712066198,0.9197171418595833,0.9163826161056668,0.9172619682268899,0.9155049483877833,0.8046184952644461,0.949558369692455,1.0,0.8210291448175598,0.8487086841061836,0.8034457047889897,0.8331877729257642,0.8553177182561919,0.8121740981164202,0.8018516547834416,1.9476428647440673,2.0,0.8259328232002546,0.8522553699906025,0.809218045636466,0.8752965279275393,0.8870615233307835,0.8638395232521018,0.8017452378418645,0.8276664531177895,0.8517537156478763,0.812879463232774,0.8760464052111653,0.8864738246990249,0.8658614451420666,0.9168883686282856,0.9138022773225497,0.919803237954698,0.9199272431649989,0.9201490712066198,0.9192372165783018,0.9197171418595833,0.9209033291061818,0.9163826161056668,0.9168883686282856,0.9172619682268899,0.9168883686282856,0.9155049483877833,0.9168883686282856,123569178,0.9138022773225497,0.9980844950516122,1.0,0.919803237954698,0.9201490712066198,0.9197171418595833,0.9163826161056668,0.9172619682268899,0.9155049483877833,0.8074917526870278,0.9554113014791955,1.0,0.822853337491981,0.8481808239395837,0.807298390468687,0.8348299319727891,0.8543105368678993,0.8162179418963499,0.8017452378418645,1.9534957965308077,2.0,0.8276664531177895,0.8517537156478763,0.812879463232774,0.8760464052111653,0.8864738246990249,0.8658614451420666,3478.1196460723877,0.8030222411407896,1.9447696073214855,2.0,0.8287078333755952,0.8558149408214883,0.8110027026512385,0.8767433704712833,0.8891928864569083,0.86463765031393
local_global,4,hydra_local_global_seed4_20260628_011452,unified_macro_f1,16,0.8310099986229376,21,16,0.8310099986229376,0.824944131105672,0.8065340002128338,0.8238141497200304,0.8186706562782101,0.843280605100491,0.8236899006605689,0.8116676546079558,0.8199832930974946,0.8324295010845987,0.824944131105672,0.8487227689925909,0.824944131105672,0.8167500266042353,0.824944131105672,0.5,0.9462594445035649,0.9153985314462062,1.0004256677663084,1.0,0.9206965061734591,0.9253561332827712,0.9164482394501033,0.9172252367273114,0.9170301031805127,0.9174204533361712,0.8061083324465255,0.9572203894860062,1.0,0.8239254349742885,0.8453933305771656,0.8098554674601793,0.8325358851674641,0.8511395219566426,0.8147281047142705,0.8032350750239438,1.9576460572523147,2.0,0.8287296725515522,0.8493631151086495,0.8151473072043599,0.8753428340951869,0.8848119156338334,0.8660742790252208,0.802383739491327,0.828623912097151,0.8473552767123772,0.8168695276143036,0.8752349750255116,0.8835393623942746,0.8670852399702033,0.9167819516867085,0.9153985314462062,0.9206965061734591,0.9201205886894723,0.9253561332827712,0.9249114252877969,0.9164482394501033,0.9157415730941522,0.9172252367273114,0.9167819516867085,0.9170301031805127,0.9167819516867085,0.9174204533361712,0.9167819516867085,123569178,0.9153985314462062,1.0004256677663084,1.0,0.9206965061734591,0.9253561332827712,0.9164482394501033,0.9172252367273114,0.9170301031805127,0.9174204533361712,0.8065340002128338,0.9623284026817069,1.0,0.8238141497200304,0.843280605100491,0.8116676546079558,0.8324295010845987,0.8487227689925909,0.8167500266042353,0.802383739491327,1.9627540704480153,2.0,0.828623912097151,0.8473552767123772,0.8168695276143036,0.8752349750255116,0.8835393623942746,0.8670852399702033,3840.7410945892334,0.8017452378418645,1.959135894434394,2.0,0.8289546986976751,0.8488160680553016,0.815231297584866,0.875658531340716,0.8847908745247148,0.8667127806746834
local_global,42,hydra_local_global_seed42_20260627_213601,unified_macro_f1,8,0.8271424874781611,13,8,0.8271424874781611,0.8232414600404384,0.7965308077045866,0.8209263073397682,0.8155279074566498,0.8497180761669798,0.8212055349470948,0.8014021191450825,0.8170880444952365,0.8300153139356815,0.8232414600404384,0.8538314391808259,0.8232414600404384,0.8074917526870278,0.8232414600404384,0.5,0.9295519846759605,0.9150792806214749,1.0001064169415772,1.0,0.9218845444067038,0.9252601178476949,0.9187133156945476,0.918754988028731,0.9187061076824856,0.9188038735766734,0.7954666382888156,0.9423220176652123,1.0,0.8206359697854165,0.8507570730512692,0.7998770494169954,0.8297172912557528,0.8551101072840204,0.8057890816217942,0.792699797807811,1.9424284346067895,2.0,0.8256624947666152,0.8544558057716592,0.8057767222109166,0.874888654951818,0.8878540513888128,0.8622964775992338,0.7922741300415026,0.825938418399829,0.8534683902929726,0.8072260792574674,0.8749966288195474,0.8871752802843861,0.8631478131318506,0.9184846227519421,0.9150792806214749,0.9218845444067038,0.921680106242255,0.9252601178476949,0.9248993438987572,0.9187133156945476,0.9186683257071141,0.918754988028731,0.9184846227519421,0.9187061076824856,0.9184846227519421,0.9188038735766734,0.9184846227519421,123569178,0.9150792806214749,1.0001064169415772,1.0,0.9218845444067038,0.9252601178476949,0.9187133156945476,0.918754988028731,0.9187061076824856,0.9188038735766734,0.7965308077045866,0.9457273597956795,1.0,0.8209263073397682,0.8497180761669798,0.8014021191450825,0.8300153139356815,0.8538314391808259,0.8074917526870278,0.7922741300415026,1.9458337767372567,2.0,0.825938418399829,0.8534683902929726,0.8072260792574674,0.8749966288195474,0.8871752802843861,0.8631478131318506,2382.5447120666504,0.7923805469830797,1.9339150792806215,2.0,0.827227940774079,0.8599134241586618,0.804191020071165,0.8764573809072957,0.8914323446871733,0.8619772267745025
